Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
ecstacy (slowed);ecstacy (slowed);SUICIDAL-IDOL;6/6/23;QZK6F2330686;949;242,661,037;43,999;9,893,510;74;51,722,759;783,78;499,5;69,556,599;646,143,014;460,974;5;1;;;;;;
Si Se Da;Si Se Da;Myke Towers;2/26/2019;QM4TX1920224;952;317,223,968;47,247;7,578,697;54;1,867,482,161;5,147,665;15,153;1,209,967;14,034,398;133,593,097;21;38;;;;;;
Holy (feat. Chance The Rapper);Holy;Justin Bieber;9/18/2020;USUM72017013;950;787,546,548;110,389;44,478,175;63;396,861,382;6,241,346;193,594;69,149,295;561,056,269;1,394,478,465;178;54;;;;;;
No Role Modelz;2014 Forest Hills Drive;J. Cole;12/9/14;USQX91402598;955;2,235,160,830;403,355;73,668,045;81;656,310,159;4,852,226;744,556;138,864,977;885,273,359;184,893,947;115;21;;;;;;
Symphony (feat. Zara Larsson);Symphony (feat. Zara Larsson);Clean Bandit;3/16/2017;GBAHS1700199;954;1,456,894,713;141,677;49,274,720;71;1,523,128,022;9,966,382;707,674;33,256,295;386,013,926;1,419,194,972;173;41;18,687,841;;;;;
Rain On Me (with Ariana Grande);Rain On Me (with Ariana Grande);Lady Gaga;5/22/2020;USUM72004304;951;1,060,378,159;104,647;55,948,663;68;514,581,598;6,465,409;442,243;80,912,710;538,854,965;382,160,207;320;105;;;;;;
Baddadan (feat. IRAH; Flowdan; Trigga & Takura);Baddadan (feat. IRAH, Flowdan, Trigga & Takura);Chase & Status;7/27/2023;953;49.3;118,804,209;57,036;35,240,391;71;16,072,797;207,183;;;;14;154,435;;0;;;
10:35;10:35;Tiï¿½ï¿;11/3/22;CYA112001130;958;539,802,784;82,093;99,413,749;74;94,379,586;652,78;11,473;5,762,615;119,710,596;487,764,676;187;64;;;;;;
One Right Now (with The Weeknd);One Right Now;Post Malone;11/5/21;USUM72120404;963;631,789,333;99,512;27,179,361;65;182,180,447;1,908,939;30,141;12,902,227;181,078,488;954,672,882;89;34;;;;;;
A Thousand Years;A Thousand Years;Christina Perri;10/18/2011;USAT21102141;964;1,654,956,613;177,834;80,060,384;77;2,989,286,684;19,870,174;4,479,720;848,530,861;8,594,414,469;1,579,447,076;94;46;68;;;;;
Secreto;Secreto;Anuel AA;1/15/2019;USXDR1900020;957;759,388,276;68,502;18,835,572;65;1,595,484,197;8,161,642;609,042;40,357,374;543,804,719;306,014,364;40;21;3,064,688;;;;;
Toda Remix - Remix;Toda (Remix);Alex Rose;6/1/18;QM4TX1838235;959;482,021,697;68,578;13,363,939;66;1,965,829,285;5,786,525;696,4;34,322,459;289,741,256;30,691,906;25;14;;;;;;
I Hate U;I Hate U - Single;SZA;12/3/21;USRC12103605;956;456,871,037;71,261;34,724,014;66;142,820,854;1,393,679;877,769;211,488,170;1,676,387,442;85,726,782;105;19;15,212,609;;;;;
Better Now;beerbongs & bentleys;Post Malone;4/27/2018;USUM71805170;962;1,953,403,531;239,092;47,844,195;74;48,443,287;734,538;104,133;9,802,093;97,061,584;;144;79;;;;;;
Call Me Maybe;Kiss;Carly Rae Jepsen;1/1/12;CAB391100615;960;1,394,048,309;211,162;114,187,117;77;2,007,334,200;12,223,928;418,014;40,431,475;367,016,981;1,811,023,591;222;88;;;;;;
Pobre Corazï¿½;Pobre Corazï¿½ï¿½n (En Vivo) [feat. Onda Sabanera] - Si;Ke Personajes;3/2/23;QZN882353309;965;187,127,704;18,938;5,235,073;65;425,484,500;857,54;8,176;2,607,049;30,085,568;188,119,455;8;7;;;;;;
Piece Of Your Heart;Piece Of Your Heart;MEDUZA;2/1/19;DEUM71807719;966;995,452,298;188,608;44,047,615;65;464,369,299;4,586,152;742,947;75,493,341;1,282,810,923;34,091,844;255;43;26,135,531;;;;;
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")";"Tere Vaaste (From ""Zara Hatke Zara Bachke"")";Varun Jain;5/22/2023;INH102307782;961;203,379,355;14,067;8,370,027;63;361,600,873;2,581,315;;;;110,775,514;16;12;;;;;;
Mi Kryptonita;Talento De Vida;Doble ONE Flow Letal;10/11/23;QZTB72322595;967;140,356,426;9,363;5,604,254;;87,822,276;963,707;849,6;119,963,984;1,057,039,331;261,296,658;4;;;;;;;
Ram Pam Pam;Ram Pam Pam;NATTI NATASHA;4/20/2021;USB272100106;968;257,167,813;38,896;13,810,240;55;794,011,391;4,280,865;1,887,815;202,617,114;2,167,134,347;350,033,186;69;35;;;;;;
Milo J: Bzrp Music Sessions; Vol. 57;en dormir sin Madrid;Bizarrap;10/3/23;UYB282301041;49;181,516,735;25,092;10,823,656;;155,509,942;2,922,165;;;;53,784,475;401,523;76;0;;;;
Stuck In The Middle;BABYMONSTER Pre-Release Single [Stuck In The Middle];BABYMONSTER;2/1/24;KRA402400004;972;21,167,612;1,285;2,035,557;;147,951,356;1,755,973;16,5;8,382,900;70,103,300;80,502,081;5;8;;;;;;
No Se Va;No Se Va (En Vivo) - EP;Grupo Frontera;4/28/2022;QZHN72212529;973;582,023,797;48,881;17,367,502;70;293,059,162;1,383,526;1,100,596;64,787,440;805,988,782;40,039;26;16;192,143;;;;;
Aesthetic;Aesthetic;Xilo;2/14/2020;QZFZ22071847;969;27,312,761;9,048;2,060,708;38;3,538,161;118,805;12,562,825;754,488,882;5,979,843,010;86,473,112;6;;;;;;;
get him back!;GUTS;Olivia Rodrigo;9/8/23;USUG12304099;971;287,724,574;25,46;15,517,447;;54,771,296;818,5;485,83;47,532,963;469,327,093;1,298,782,751;47;43;910,103;;;;;
LA PEOPLE II;LA PEOPLE II;Peso Pluma;3/21/2024;QM4TX2458976;978;123,243,341;5,069;34,480,158;79;53,762,979;472,82;;171,6;3,100,000;;13;14;;;;;;
Valerie - Live At BBC Radio 1 Live Lounge; London / 2007;Back To Black: Songs From The Original Motion Picture;Amy Winehouse;4/12/24;GBCAD2000628;48.9;562,814,594;17;25,81;;;;;;;;530;;0;;;;
The Tortured Poets Department;THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401029;975;150,693,008;3,273;15,710,281;;15,389,385;261,652;;4,822;39,1;;29;52;;;;;;
Your Love (9PM);Your Love (9PM);ATB;1/15/2021;DECE72003523;976;721,002,104;146,298;62,920,572;71;118,729,044;952,7;25,4;5,772,644;81,735,548;153,714,110;201;27;5,026,745;;;;;
One Side;One Side;Iyanya;9/15/2022;ZA41S2225757;977;23,823,099;10,859;859,682;53;75,987,807;365,743;4,024,066;59,428,340;1,004,679,876;42,569,293;3;;;;;;;
HEAT STICK;HEAT STICK;Shoreline Mafia;5/10/24;USAT22402903;979;20,538,101;3,675;33,607,850;74;3,575,151;101,311;;20,6;108,7;381,728;23;7;1,415,426;;;;;
Photograph;x (Wembley Edition);Ed Sheeran;1/1/13;GBAHS1400094;980;2,525,355,904;208,671;121,163,411;77;1,884,843,329;9,916,244;1,459,274;502,385,405;4,406,781,129;1,706,776,803;249;54;35,594,470;;;;;
Virginia Beach;For All The Dogs;Drake;10/6/23;USUG12306066;981;165,204,421;38,562;6,636,362;;16,599,214;126,612;;;;35,874;5;8;6,243,171;;;;;
Great Gatsby;Nostalgia;Rod Wave;9/15/2023;USQX92305201;982;66,813,186;11,024;4,487,030;;75,881,981;409,473;4,842;4,543,062;34,091,093;359,281,223;11;16;13,491,731;;;;;
1;2; 3 (feat. Jason Derulo & De La Ghetto);1, 2, 3 (feat. Jason Derulo & De La Ghetto);Sofï¿½ï¿½a R;2/16/2018;983;48.7;667,508,675;78,737;29,292,148;61;1,001,147,152;7,847,053;7,162,351;628,778,954;8,778,203,835;63;12,798,124;;0;;;
Ateï¿½ï¿½e Dï¿½ï;Ateï¿½ï¿½e Dï¿½ï;Mert Demir;9/22/2023;USA2P2346453;984;98,395,711;14,727;3,591,657;;198,114,786;880,794;;3,300,292;84,398,578;107,323,281;10;;;;;;;
Until I Found You (with Em Beihold) - Em Beihold Version;Until I Found You (Em Beihold Version);Stephen Sanchez;4/22/2022;USUG12202266;986;1,020,452,066;108,274;75,934,462;79;114,404,861;1,372,385;228,1;129,184,868;1,013,000,586;995,903;45;5;3,198,903;;;;;
Wants and Needs (feat. Lil Baby);Scary Hours 2;Drake;3/5/21;USUG12101042;985;793,287,638;225,513;37,094,631;71;104,966,782;872,923;36,542;45,722,496;319,496,635;783,169;130;18;;;;;;
Jiwa Yang Bersedih;Jiwa Yang Bersedih - Single;Ghea Indrawari;5/18/2023;FRX452328816;987;229,120,157;11,931;7,972,917;69;136,914,720;1,023,397;1,589,944;378,055,132;5,604,886,674;45,212,529;6;;;;;;;
Coco Chanel;3MEN2 KBRN;Eladio Carrion;3/17/2023;QM4TX2344391;988;459,282,058;67,717;32,043,186;72;100,210,832;673,502;49;17,997,404;147,682,062;1,805,292;46;17;;;;;;
Calm Down Baby;Calm Down Baby - Single;DJ Laxman;1/12/24;FR10S2458617;989;1,389,772,733;1;1;;;;;;;;2;;;;;;;
At My Worst;The Prelude;Pink Sweat$;7/17/2020;USAT22003823;991;670,245,273;83,819;24,550,707;64;537,033,479;4,862,491;3,893,052;155,783,189;1,736,930,175;10,765,679;58;8;;;;;;
TOO MUCH;TOO MUCH;The Kid LAROI;10/19/2023;USSM12307154;990;137,894,955;20,037;20,683,852;;45,533,851;1,730,466;4,402;2,179,277;13,108,162;1,665,204,683;37;39;1,157,460;;;;;
Go Down Deh (feat. Shaggy and Sean Paul);Go Down Deh (feat. Shaggy and Sean Paul);Spice;4/30/2021;USVPR2100046;993;218,431,985;56,998;7,122,424;61;336,505,073;3,901,948;3,595,260;338,445,934;4,731,467,896;11,491,467;24;14;2,388,111;;;;;
Cake By The Ocean - Cover;NEW TIK&TOK - BUZZ BEST -;MUSIC LAB JPN;6/7/23;TCJPV2340543;1,103;1,611,084,670;;;;;;;;;;;;;;;;;
Miles On It;Miles on It;Marshmello;5/3/24;QZZVQ2400059;992;41,924,126;3,794;124,369,916;79;4,219,901;103,922;;;;237,146,592;87;91;239,024;;;;;
El Caballito;El Caballito - Single;FARIANA;6/7/24;QM6N22408548;994;184,278;74;5,010,610;42;;;63;14,587,439;205,181,975;;4;12;;;;;;
PICK UP THE PHONE (feat. Nate Dogg);PICK UP THE PHONE (feat. Nate Dogg);PAWSA;5/31/2024;GBCEN2400112;995;2,284,977;1,425;11,819,359;22;186,215;4,951;;;;;13;24;1,035,215;;;;;
Tomorrow 2 (with Cardi B);Tomorrow 2 (with Cardi B);GloRilla;9/23/2022;USUM72217666;996;157,806,193;27,84;14,490,602;64;216,925,153;1,357,039;264,839;77,376,260;507,673,872;175,345,907;41;60;;;;;;
Se Preparï¿;Se Preparï¿;Ozuna;8/10/17;USXDR1700552;997;846,909,112;81,897;37,257,314;73;2,003,507,626;8,554,387;357,129;31,889,859;259,122,341;265,630,619;50;32;;;;;;
Lost on You;Lost On You;LP;3/24/2016;QMRSZ1501406;998;837,042,727;127,522;22,902,207;70;2,265,062,550;13,313,083;87,3;31,874,280;239,446,479;220,914,117;80;13;;;;;;
Leï¿½;Leï¿½ï¿½o - Si;Marï¿½ï¿½lia Mendo;12/8/22;BRWNV2200185;999;415,752,953;20,588;32,327,663;66;423,072,409;2,136,310;318,3;58,453,253;754,580,262;1,139,343,976;26;13;;;;;;
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")";"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")";Pritam;7/12/23;INH102309955;1,005;159,909,273;7,624;11,285,253;64;329,088,407;1,435,514;;;;92,792,948;12;21;;;;;;
Lean Wit Me;Lean Wit Me;Juice WRLD;5/22/2018;USUG11800945;1,001;880,781,313;137,341;29,154,307;72;432,457,883;3,689,786;28,508;3,880,481;33,981,823;5,946,423;21;2;120,023,575;;;;;
HOTEL LOBBY (Unc & Phew);HOTEL LOBBY (Unc and Phew);Quavo;5/20/2022;USUG12202512;1,002;399,707,517;131,547;25,873,871;69;44,839,108;449,678;1,332;101,238;1,130,861;2,803,361;66;36;;;;;;
"Choli Ke Peeche (From ""Crew"")";"Choli Ke Peeche (From ""Crew"") - Single";Diljit Dosanjh;3/20/2024;INT102400983;1,006;16,264,473;552;6,584,623;;93,523,633;390,514;;;;;1;11;;;;;;
April Rain in August Weather;April Rain in August Weather - Single;Baba Blakes;3/24/2023;FR96X2351551;1,004;408,449;38;1,747;12;524,571,173;1,510,602;23;20;385;;;;;;;;;
LEATHER;LEATHER;MAKAELA;1/27/2023;QZJG52355895;1;1,696;;;;604,258,394;1,611,760;;;;;;;;;;;;
Panini;Panini;Lil Nas X;6/20/2019;USSM11903948;1,003;741,766,886;96,241;16,599,790;62;659,070,547;10,294,151;334,492;59,073,681;493,209,730;229,239,236;68;18;43,940,834;;;;;
She Had Me At Heads Carolina;Stereotype;Cole Swindell;4/8/22;USWB12200181;1,007;244,709,550;33,533;14,159,174;69;92,809,269;501,049;53,799;11,305,059;140,118,719;466,327,206;31;28;;;;;;
So Long; London;THE TORTURED POETS DEPARTMENT;Taylor Swift;4/18/2024;USUG12401032;47.8;175,613,480;4,454;20,883,678;84;15,237,337;222,75;;247,1;1,510,800;24,074,850;284,806;2,086;0;;;;
good 4 u;good 4 u;Olivia Rodrigo;5/14/2021;USUG12101253;1,009;2,167,768,056;12,805;3,065,794;54;;;;;;;93;2;;;;;;
bad idea right?;bad idea right?;Olivia Rodrigo;8/11/23;USUG12304094;1,012;433,515,672;37,313;23,894,665;12;37,971,085;871,048;236,657;92,857,729;839,351,640;1,213,115,245;73;37;;;;;;
Ay; DiOs Mï¿½ï;Ay, DiOs Mï¿½ï;KAROL G;7/10/20;USUM72013593;47.7;599,215,039;57,051;16,707,832;61;834,762,162;5,130,805;2,265,527;71,390,703;779,241,131;38,462,285;244,418;13,881;0;;;;
happier;SOUR;Olivia Rodrigo;5/21/2021;USUG12101247;1,015;1,133,535,049;116,055;29,173,011;79;352,845,171;3,883,946;722,581;472,933,333;3,266,081,830;326,868,389;56;11;;;;;;
Lalala;Lalala;Y2K;6/28/2019;USSM11904230;1,01;968,133,091;142,494;16,656,325;66;707,665,227;10,665,380;2,733,359;556,612,849;6,342,877,983;368,355,428;76;7;;;;;;
ONE MORE TIME;ONE MORE TIME / MORE THAN YOU KNOW;blink-182;9/21/2023;USSM12306395;1,011;62,097,485;16,027;7,986,146;;36,646,460;717,689;5,436;2,500,510;39,957,104;40,665,968;23;61;;;;;;
ýýýýýýýýýýýýýýýýýýýýý;ýýýýýýýýýýýýýýýýýýýýý;HoneyWorks;11/21/2022;JPX402200183;1,014;23,191,929;5,912;438,018;51;128,703,160;1,112,327;3,400,886;499,324,989;6,284,732,144;80,772,548;3;6;;;;;;
Tubarï¿½ï¿½o Te;Tubarï¿½ï¿½o Te;Dj LK da Escï¿½ï¿;9/28/2022;BC91N2200001;1,013;150,177,750;30,142;13,282,269;59;153,683,754;1,673,637;2,700,000;1,300,234,701;15,253,039,012;6,064,515;9;10;;;;;;
Chichiquetere;Chichiquetere;HCTM;8/6/22;SGB502231965;1,017;1,858,478;581;37,113;28;163,462;3,981;5,101,153;88,338,099;1,420,793,896;;;;;;;;;
After Hours;After Hours;Kehlani;4/4/24;USAT22401034;1,019;34,629,239;3,962;55,053,444;14;2,560,026;50,31;;477,4;4,592,500;14,602,910;49;32;603,693;;;;;
Monkeys Spinning Monkeys;SteamFun - Single;Kevin MacLeod;5/16/2011;USUAN1400011;1,018;11,477,477;7,679;1,490,705;36;11,457,166;123,604;31,963,934;23,474,223,833;233,232,311,463;1,418,397;4;1;;;;;;
II MOST WANTED;COWBOY CARTER;Beyoncï¿;3/27/2024;USSM12402717;1,022;76,870,736;5,252;32,501,444;;6,424,033;126,715;;;;200,314,697;76;64;176,006;;;;;
One Kiss (with Dua Lipa);Dua Lipa (Complete Edition);Calvin Harris;1/1/15;GBARL1800368;1,024;2,178,606,166;291,456;162,511,602;79;1,256,080,361;8,723,122;1,932,873;174,361,744;1,597,020,461;706,333,060;458;103;;;;;;
Mmhmm;Mmhmm;BigXthaPlug;10/6/23;QZNMX2391413;1,02;155,648,648;28,131;46,683,719;82;27,758,776;286,628;44,222;881,868;7,609,548;105,397,484;20;10;5,358,274;;;;;
BOP;KIRK;DaBaby;9/27/2019;USUM71918972;1,021;820,923,123;158,363;34,079,735;68;661,665,888;6,303,898;74,988;16,461,096;129,969,428;156,344,017;68;7;;;;;;
Husn;Husn;Anuv Jain;12/1/23;INUM72303081;1,023;181,457,783;12,424;10,746,664;74;130,834,495;1,816,271;;;;1,014,573,386;9;6;;;;;;
Titanium (feat. Sia);Nothing But The Beat;Sia;1/1/11;GB28K1100036;1,031;1,634,403,761;244,291;103,798,139;74;1,855,838,617;9,070,363;223,184;49,312,980;510,515,661;1,440,344,388;253;77;;;;;;
Kahani Suno 2.0;Kahani Suno 2.0;Kaifi Khalil;5/31/2022;QZK6Q2278612;1,027;296,648,613;21,479;6,678,540;68;510,727,740;6,497,078;1,200,000;27,052,606;410,960,127;;2;;;;;;;
No_se_ve.mp3;No_se_ve.mp3 - Single;Emilia;5/3/23;QM6N22333334;1,025;218,340,846;30,667;18,842,918;64;223,159,269;879,627;225,6;67,337,219;876,147,905;290,956,426;20;54;;;;;;
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R;Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re;Major Lazer;9/4/15;FR6P11501180;1,03;53,822,187;2,081;465,455;;3,617,929,617;17,418,989;;37;956;1,393,748,323;;;;;;;;
Arcade;Arcade;Duncan Laurence;3/7/19;NL1TK1900001;1,029;1,184,536,529;199,838;52,970,224;69;439,603,979;6,566,306;1,458,534;698,504,294;6,956,515,458;852,884;124;20;;;;;;
Ya Te Olvide;Ya Te Olvide;Natanael Cano;5/15/2024;QZ9QQ2400324;1,032;38,139,811;1,763;29,137,587;79;19,437,867;412,418;;;;;9;15;;;;;;
How Deep Is Your Love;How Deep Is Your Love;Calvin Harris;7/17/2015;GBARL1500704;1,026;1,156,342,373;168,603;66,723,908;78;1,961,319,809;8,520,003;527,189;148,496,036;982,629,718;234,830,168;364;12;;;;;;
BUTTERFLY EFFECT;EPIC AF;Travis Scott;1/1/17;USSM11704799;1,028;1,388,024,799;219,41;37,089,107;79;583,707,677;4,328,247;103,265;22,575,146;236,970,860;39,422,962;133;27;89,880,570;;;;;
Let You Down;Let You Down;NF;9/15/2017;USUM71708226;1,034;1,472,430,869;187,536;40,032,849;73;668,707,222;7,011,620;754,672;35,519,027;270,757,450;128,349,191;68;11;;;;;;
FE!N (feat. Playboi Carti);FE!N (feat. Playboi Carti);Travis Scott;3/30/2024;USSM22301824;1,033;656,618,110;3;82;;;;;;;;;;;;;;;
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ;Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ;MEDUZA;7/22/2022;GBUM72203666;1,035;460,973,352;87,026;76,037,102;69;21,938,855;220,61;46,341;11,711,694;202,563,112;;93;22;2,244,208;;;;;
Yo Perreo Sola;YHLQMDLG;Bad Bunny;2/29/2020;QM4TX2030934;1,036;745,086,450;95,154;29,388,631;67;818,482,247;8,068,018;1,515,908;126,702,212;1,133,216,780;291,194,930;128;53;;;;;;
ETA;NewJeans 2nd EP 'Get Up';NewJeans;7/21/2023;USA2P2330071;1,038;234,215,735;20,419;7,910,753;74;189,170,317;1,734,442;98,128;38,199,952;297,802,502;537,474,239;24;4;1,352,255;;;;;
Jordan;Jordan;Ryan Castro;4/30/2021;FR96X2111994;1,037;535,847,791;57,454;22,561,916;73;602,969,531;3,455,570;2,054,500;440,899,222;5,134,093,462;126,173,423;23;29;;;;;;
Take You Dancing;Take You Dancing;Jason Derulo;7/22/2020;USAT22004479;1,039;716,319,941;98,905;32,882,211;65;460,154,791;3,442,896;522,107;149,900,995;1,506,051,452;176,273,148;145;31;;;;;;
BUBALU;BUBALU;Feid;9/22/2023;USUM72312321;1,043;152,487,756;26,763;34,486,818;;91,266,986;531,703;22,36;672,615;7,708,938;140,740,472;33;27;;;;;;
Be Alright;Be Alright;Dean Lewis;6/29/2018;AUUM71800255;1,042;1,749,353,402;182,732;81,424,354;72;244,698,483;2,156,754;191,718;48,497,239;379,547,638;2,742;148;26;38,670,021;;;;;
Jalebi Baby;Jalebi Baby;Tesher;11/13/2020;QZNWQ2070741;1,041;164,137,928;47,324;4,827,888;58;569,438,267;9,098,356;3,568,275;609,856,643;8,443,743,856;8,067,537;43;3;3,441,396;;;;;
Endless Summer;Endless Summer;Alan Walker;7/13/2023;NOG842305010;1,04;28,340,672;7,147;9,900,066;55;6,667,293;144,046;2,207,992;16,323,044;395,590,915;13,897,403;8;8;;;;;;
Belly Dancer;Belly Dancer;Imanbek;2/18/2022;NLZ542200165;1,047;547,114,702;110,008;103,107,258;75;152,539,885;1,025,216;81,866;45,025,550;367,187,204;675,951,120;85;42;;;;;;
Who Told You (feat. Drake);Who Told You (feat. Drake) - Single;J Hus;6/8/23;GBARL2300716;1,046;142,574,143;72,496;16,207,605;62;16,368,063;168,658;80,897;28,314,723;264,112,132;511,758;90;49;;;;;;
NIGHT DANCER;NIGHT DANCER - Single;imase;8/19/2022;JPPO02202918;1,045;239,149,370;46,984;6,134,615;67;281,173,184;3,281,196;1,132,387;226,568,824;2,285,171,989;80,772,548;32;2;;;;;;
Yoksun;Yoksun - Single;Ebru Yaï¿½ï;2/2/24;FR2X42424385;1,048;33,174,286;1,658;1,193,973;;119,795,906;342,242;;;;1,145,002,460;9;;;;;;;
DON'T YOU WORRY;Don't You Worry;Black Eyed Peas;6/16/2022;USSM12202555;1,044;302,939,117;48,916;26,723,190;62;236,850,911;1,744,818;86,202;6,704,531;74,013,480;5,024,734,774;57;32;;;;;;
"Rowdy Baby (From ""Maari 2"")";U1 For Life;Dhanush;8/26/2020;IND291823075;1,057;58,283,353;12;2,71;;1,558,088,734;6,652,026;;;;169,255,135;;5;;;;;;
MIDDLE OF THE NIGHT;MIDDLE OF THE NIGHT;Elley Duhï¿;1/10/20;USRC11903813;1,054;1,104,008,150;173,612;51,608,714;72;431,904,675;4,882,117;612,5;304,312,367;2,922,804,533;42,354,537;72;3;;;;;;
Pickup Man (feat. Post Malone);HIXTAPE Vol. 3: DIFFTAPE (Small Batch);HARDY;11/9/23;USUG12305726;1,055;27,891,947;11,898;5,352,704;;;;;;;;8;20;345,159;;;;;
Volando (Remix);Volando (Remix);Mora;7/8/21;QMFME2105596;1,052;701,919,939;105,247;22,304,375;68;560,364,244;2,647,485;26,2;9,024,221;74,137,126;45,891,350;85;22;;;;;;
Moth To A Flame (with The Weeknd);The Highlights (Deluxe);Swedish House Mafia;2/5/21;USUG12105524;1,056;861,100,951;153,435;41,139,591;74;95,899,960;848,696;35,151;18,345,722;184,453,448;2,623,975;122;47;4,485,036;;;;;
WORTH IT (feat. Don Toliver);WORTH IT (feat. Don Toliver);Offset;10/12/23;USUM72313166;1,05;48,339,964;24,76;10,056,008;;9,010,442;103,229;;1,020,812;10,073,870;1,861,090;21;10;;;;;;
Canï¿½ï¿½ï¿½t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ;Canï¿½ï¿½ï¿½t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S;Olivia Rodrigo;11/3/23;USUG12307028;1,053;259,807,712;30,605;33,315,037;;9,545,403;163,045;73,845;85,733,614;538,186,129;;41;29;1,472,596;;;;;
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio;Solteiro Forï¿½ï¿½ado (Boiadeira Internacio;Ana Castela;7/7/23;BX3022300019;1,051;210,195,998;10,723;12,965,116;65;291,263,121;1,409,361;33,9;3,996,634;55,226,429;1,201,657,034;6;9;;;;;;
"Naina (From ""Crew"")";"Naina (From ""Crew"") - Single";Diljit Dosanjh;3/5/24;INT102400827;1,049;65,661,355;2,351;12,360,484;76;89,220,257;546,476;;;;44,670,108;16;20;;;;;;
Bel Bont El3areedh;Haflet Al'ahramat 2022 - Egypt;Hussain Aljassmi;12/19/2022;AEA142213346;1,059;16,119;5;411;6;634,519,417;4,362,725;;;;2,105,270;;;;;;;;
"Naa Ready (From ""Leo"")";"Naa Ready (From ""Leo"")";Anirudh Ravichander;6/22/2023;INS172307161;1,058;142,430,643;6,611;5,093,444;64;347,065,741;4,171,813;;663;18,8;153,732,169;8;18;;;;;;
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur;Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur;Piso 21;10/20/2017;MXF151700546;1,061;871,780,891;56,085;22,005,461;68;2,169,311,851;4,669,074;137,939;12,865,488;121,241,311;206,887,325;41;44;;;;;;
Feel the POP;You had me at HELLO;ZEROBASEONE;5/13/2024;KRA492400588;1,06;8,699,917;533;10,481,435;58;31,498,812;685,645;;131,4;329,8;;5;25;17,497;;;;;
Diamonds;Unapologetic (Edited Version);Rihanna;1/1/12;USUM71211793;1,063;1,419,912,461;180,128;62,951,327;70;2,336,257,288;11,532,780;12,421;899,775;6,890,158;404,667,689;164;53;;;;;;
Fuera del mercado;@dannocean;Danny Ocean;2/17/2022;USWL12200098;1,064;535,013,440;57,772;25,048,190;71;162,236,183;1,010,851;2,681,307;387,587,032;4,479,627,831;339,251,328;54;28;;;;;;
Poor People We;Poor People We;Harp and a monkey;11/28/2022;UKXN22273282;1,062;1,071;6;1,694;;654,777,639;;;;;176;;;;;;;;
El Cielo;El Cielo - Single;Sky Rompiendo;6/2/23;USSD12300241;1,068;354,097,795;53,606;50,446,311;74;89,166,241;599,27;26,367;10,289,035;107,126,101;9,653,765;64;19;;;;;;
ALL MY FELLAS;ALL MY FELLAS;Frizk;9/19/2023;QZTAZ2359846;1,07;56,978,899;19,534;2,505,224;;31,575,700;824,524;1,095,900;77,314,395;641,905,367;86,472,968;3;;;;;;;
Bebefinn Song;Bebefinn Song - Single;Pinkfong;5/3/24;KRE672300203;1,069;38,895;8;611;;50,007,108;65,432;;;;;1;;;;;;;
BITTERSUITE;HIT ME HARD AND SOFT;Billie Eilish;5/17/2024;USUM72401987;1,066;58,810,212;3,394;9,510,078;87;;;97;;;;31;9;680,392;;;;;
Me Fui de Vacaciones;Un Verano Sin Ti;Bad Bunny;5/6/22;QM6MZ2214894;1,067;366,872,354;61,014;15,444,758;68;146,768,761;1,402,279;2,232,600;180,281,548;1,794,129,686;20,198,310;14;7;2,328,837;;;;;
Talk (feat. Disclosure);Talk;Khalid;2/7/19;USRC11900004;1,065;968,194,426;121,168;29,487,473;64;468,753,245;3,701,432;622,138;22,886,397;175,481,915;364,423,555;171;73;;;;;;
Rompe La Dompe;Rompe La Dompe;Peso Pluma;12/28/2023;QMFMG2368181;1,071;164,219,485;11,966;20,373,836;;101,560,741;564,659;;;;414,178,081;15;11;;;;;;
greedy sped up;greedy;Tate McRae;9/14/2023;USRC12302740;1,074;21,648,841;2,778;2,506,076;;;;1,992,300;242,655,468;3,067,524,132;;2;8;;;;;;
Reloj;Reloj;Rauw Alejandro;10/22/2020;USSD12000471;1,072;579,749,218;90,725;22,415,388;65;645,701,697;3,354,975;1,567,493;149,903,879;1,294,351,127;154,245,751;89;23;;;;;;
ýýýýýýýýýýýýýýýýýýýýýýýýýýý;ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single;ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý;3/22/2024;THSOH2402582;1,073;2,730,458;257;128,196;;89,974,882;536,584;;;;;1;;;;;;;
